日期,收盤,開盤,最高,最低,成交量
2019/6/27, NT$240.50 , NT$236.00 , NT$241.50 , NT$236.00 ,"42,007,834"
2019/6/28, NT$239.00 , NT$241.50 , NT$241.50 , NT$238.00 ,"28,085,212"
2019/7/1, NT$248.50 , NT$245.50 , NT$250.00 , NT$245.00 ,"66,370,875"
2019/7/2, NT$249.00 , NT$249.50 , NT$250.00 , NT$247.50 ,"26,832,202"
2019/7/3, NT$242.50 , NT$244.00 , NT$245.00 , NT$242.00 ,"29,549,774"
2019/7/4, NT$244.00 , NT$244.50 , NT$245.00 , NT$242.50 ,"18,691,240"
2019/7/5, NT$243.00 , NT$244.50 , NT$245.00 , NT$241.50 ,"27,317,074"
2019/7/8, NT$242.50 , NT$240.00 , NT$244.50 , NT$240.00 ,"29,190,909"
2019/7/9, NT$242.00 , NT$241.50 , NT$243.00 , NT$240.50 ,"16,538,987"
2019/7/10, NT$247.00 , NT$243.00 , NT$247.00 , NT$243.00 ,"23,812,131"
2019/7/11, NT$250.00 , NT$250.00 , NT$250.00 , NT$247.50 ,"31,296,289"
2019/7/12, NT$250.50 , NT$252.00 , NT$252.00 , NT$249.50 ,"23,868,432"
2019/7/15, NT$254.50 , NT$251.00 , NT$254.50 , NT$249.50 ,"34,264,300"
2019/7/16, NT$256.00 , NT$254.00 , NT$256.50 , NT$253.50 ,"26,141,249"
2019/7/17, NT$252.00 , NT$254.00 , NT$254.00 , NT$251.00 ,"34,346,648"
2019/7/18, NT$254.00 , NT$252.00 , NT$254.50 , NT$251.50 ,"20,908,575"
2019/7/19, NT$259.00 , NT$259.50 , NT$261.00 , NT$259.00 ,"59,879,798"
2019/7/22, NT$264.00 , NT$263.00 , NT$264.00 , NT$262.00 ,"31,863,639"
2019/7/23, NT$264.00 , NT$265.50 , NT$266.50 , NT$262.50 ,"29,273,223"
2019/7/24, NT$265.00 , NT$266.50 , NT$266.50 , NT$263.00 ,"24,511,039"
2019/7/25, NT$265.00 , NT$264.00 , NT$265.00 , NT$261.50 ,"30,698,545"
2019/7/26, NT$261.00 , NT$261.00 , NT$262.50 , NT$261.00 ,"20,768,071"
2019/7/29, NT$261.00 , NT$260.00 , NT$262.00 , NT$259.50 ,"18,473,320"
2019/7/30, NT$260.00 , NT$262.50 , NT$263.00 , NT$260.00 ,"22,895,612"
2019/7/31, NT$259.50 , NT$260.00 , NT$260.00 , NT$257.00 ,"36,365,601"
2019/8/1, NT$256.50 , NT$257.50 , NT$257.50 , NT$255.50 ,"30,107,526"
2019/8/2, NT$251.50 , NT$252.00 , NT$253.50 , NT$250.50 ,"54,165,644"
2019/8/5, NT$246.50 , NT$251.00 , NT$252.00 , NT$245.50 ,"52,835,721"
2019/8/6, NT$248.50 , NT$240.00 , NT$250.00 , NT$240.00 ,"58,916,879"
2019/8/7, NT$248.00 , NT$250.00 , NT$250.50 , NT$246.50 ,"29,435,460"
2019/8/8, NT$253.50 , NT$248.00 , NT$254.00 , NT$248.00 ,"30,140,266"
2019/8/12, NT$251.00 , NT$254.50 , NT$254.50 , NT$251.00 ,"24,732,603"
2019/8/13, NT$246.50 , NT$249.00 , NT$249.50 , NT$246.50 ,"25,045,107"
2019/8/14, NT$249.50 , NT$252.50 , NT$254.00 , NT$249.50 ,"36,336,703"
2019/8/15, NT$248.00 , NT$247.00 , NT$248.50 , NT$246.00 ,"28,277,412"
2019/8/16, NT$250.00 , NT$249.50 , NT$252.00 , NT$248.00 ,"25,696,715"
2019/8/19, NT$252.00 , NT$251.50 , NT$253.00 , NT$250.50 ,"24,060,514"
2019/8/20, NT$254.50 , NT$254.00 , NT$254.50 , NT$252.50 ,"20,620,494"
2019/8/21, NT$254.50 , NT$254.50 , NT$255.00 , NT$253.00 ,"20,269,296"
